amino_acid_code,smiles,current_classification,is_beta_current,is_gamma_current,is_d_amino_current,is_cyclic_current,is_aromatic_current,is_n_methyl_current,manual_classification,is_beta_manual,is_gamma_manual,is_d_amino_manual,is_cyclic_manual,is_aromatic_manual,is_n_methyl_manual,analysis_notes,has_pdb,has_mol2
4IN,OC(=O)[C@H](Cc1c[nH]c2c1c(N)ccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含氨基吲哚环系统为芳香族,Yes,Yes
4PH,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯丙氨酸衍生物，C@H表示D型，含甲基苯环为芳香族,Yes,Yes
6CL,[NH3][C@H](C(=O)O)CCC[C@H]([C](=O)=O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-赖氨酸衍生物，C@H表示D型，含双氨基结构为环状,Yes,Yes
6CW,O=[C](=O)[C@H](Cc1c[nH]c2c1ccc(c2)Cl)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-色氨酸衍生物，C@H表示D型，含氯代吲哚环系统为芳香族,Yes,Yes
AA4,OCCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-高丝氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
ABA,CC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-α-氨基丁酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
ACZ,[NH3][C@H](C(=O)O)CC[C@@H]1C=C[C@@H](C=C1)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-赖氨酸衍生物，C@H表示D型，含环己烯环结构和双氨基,Yes,Yes
ADAM,[NH3][C@H]([C](=O)=O)C[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-金刚烷丙氨酸，C@H表示D型，含复杂的金刚烷环状结构,Yes,Yes
AGM,C[C@H]([NH]=[C](=[NH2])=[NH2])CC[C@@H](C(=O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-精氨酸衍生物，C@H表示D型，含胍基和双氨基结构,Yes,Yes
AHB,OC(=O)[C@H]([C@@H](C(=O)N)O)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-β-羟基天冬酰胺，C@H表示D型，无环或芳香结构,Yes,Yes
AHP,CCCCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-正亮氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
ALA,[NH3][C@@H](C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-丙氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
ALC,[NH3][C@H](C(=O)O)CC1CCCCC1,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-环己基丙氨酸，C@H表示D型，含环己基环状结构,Yes,Yes
ALN,O=[C](=O)[C@H](Cc1cccc2c1cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-萘丙氨酸，C@H表示D型，含萘环为芳香族,Yes,Yes
ALO,[NH3][C@H](C(=O)O)[C@H](C)O,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-苏氨酸，C@H表示D型，无环或芳香结构,Yes,Yes
ANTH,OC(=O)[C@H](Cc1c2ccccc2cc2c1cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-蒽丙氨酸，C@H表示D型，含蒽环为芳香族,Yes,Yes
APD,OC(=O)[C@H](Cc1cccc(c1)C)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-甲基苯丙氨酸，C@H表示D型，含甲基苯环为芳香族,Yes,Yes
ARG,[NH3][C@@H](CCCNC(=[NH2])N)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-精氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
ARO,O[C@H](C[C@@H](C(=O)O)[NH3])C[NH]=[C](=[NH2])=[NH2],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-精氨酸衍生物，含羟基和胍基，双氨基结构,Yes,Yes
AS2,O=CC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-天冬氨酸醛，C@@H表示L型，为标准α氨基酸衍生物,Yes,Yes
ASN,[NH3][C@@H](CC(=O)N)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-天冬酰胺，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
ASP,[NH3][C@@H](CC(=O)O)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-天冬氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
AZDA,[NH3][C@H]([C](=O)=O)CN=[N]=N,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-叠氮丙氨酸，C@H表示D型，含叠氮基团,Yes,Yes
BB8,O[C@H]([C@@H](C(=O)O)[NH3])c1ccccc1,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯基丝氨酸，含羟基和苯环，为芳香族,Yes,Yes
BCS,[NH3][C@H](C(=O)O)CSCc1ccccc1,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯硫基半胱氨酸，C@H表示D型，含苯环为芳香族,Yes,Yes
BHD,O=[C](=O)[C@H]([C@@H]([C](=O)=O)[NH3])O,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-β-羟基天冬氨酸，C@H表示D型，无环或芳香结构,Yes,Yes
BIF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)c1ccccc1,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-联苯丙氨酸，C@H表示D型，含联苯结构为芳香族,Yes,Yes
BIU,C[C@H]([C@@H](C(=O)O)[NH3])CCBr,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-溴异亮氨酸，含溴原子，无环或芳香结构,Yes,Yes
BTH3,O=[C](=O)[C@H](Cc1csc2c1cccc2)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-苯并噻吩丙氨酸，C@H表示D型，含苯并噻吩环为芳香族,Yes,Yes
BTR,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)Br)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-溴色氨酸，C@H表示D型，含溴代吲哚环为芳香族,Yes,Yes
BUG,[NH3][C@@H](C(C)(C)C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-叔丁基甘氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
C2N,ClC[C@@H]([C](=O)=O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-氯丙氨酸，C@@H表示L型，为标准α氨基酸,Yes,Yes
CAN,[NH3][C@H](C(=O)O)CCON,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-肌氨酸衍生物，C@H表示D型，含羟胺基团,Yes,Yes
CCS,O=[C](=O)CSC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-半胱氨酸衍生物，C@@H表示L型，含二硫键结构,Yes,Yes
CHG,[NH3][C@H](C(=O)O)C1CCCCC1,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-环己基甘氨酸，C@H表示D型，含环己基环状结构,Yes,Yes
CHP,OC(=O)[C@H](c1ccc(c(c1)Cl)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-氯酪氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
CIR,OC(=O)[C@H](CCC[NH]=[C](=O)=[NH2])[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-瓜氨酸，C@H表示D型，含脲基但无环或芳香结构,Yes,Yes
CNP2,N#Cc1ccccc1C[C@@H](C(=O)O)[NH3],Cyclic; Aromatic,No,No,No,Yes,Yes,No,Aromatic,No,No,No,No,Yes,No,L-氰基苯丙氨酸，C@@H表示L型，含氰基苯环为芳香族,Yes,Yes
CP24,OC(=O)[C@H](Cc1ccc(cc1Cl)Cl)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-2,4-二氯苯丙氨酸，C@H表示D型，含二氯苯环为芳香族",Yes,Yes
CP34,OC(=O)[C@H](Cc1ccc(c(c1)Cl)Cl)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-3,4-二氯苯丙氨酸，C@H表示D型，含二氯苯环为芳香族",Yes,Yes
CPA3,[NH3][C@H]([C](=O)=O)CC1CCCC1,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-环戊基丙氨酸，C@H表示D型，含五元环戊基为环状结构,Yes,Yes
CPG2,O=[C](=O)[C@H](c1ccccc1Cl)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-氯苯甘氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
CPG3,OC(=O)[C@H](c1cccc(c1)Cl)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-氯苯甘氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
CPG4,[NH3][C@@H](c1ccc(cc1)Cl)C(=O)O,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-4-氯苯甘氨酸，C@@H表示L型，含氯代苯环为芳香族,Yes,Yes
CPH2,OC(=O)[C@H](Cc1ccccc1Cl)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-氯苯丙氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
CSA,CC(=O)CSC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-S-乙酰半胱氨酸，C@@H表示L型，为标准α氨基酸衍生物,Yes,Yes
CSE,[NH3][C@H]([C](=O)=O)C[SeH],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-硒代半胱氨酸，C@H表示D型，含硒原子但无环或芳香结构,Yes,Yes
CTE,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1cccc2Cl,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-氯色氨酸，C@H表示D型，含氯代吲哚环系统为芳香族,Yes,Yes
CTH,ClC[C@H]([C@@H](C(=O)O)[NH3])O,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-氯苏氨酸，C@H表示D型，含氯原子和羟基但无环或芳香结构,Yes,Yes
CYS,[NH3][C@@H](CS)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-半胱氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
D4P,OC(=O)[C@H](c1ccc(cc1)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-4-羟基苯甘氨酸，C@H表示D型，含羟基苯环为芳香族,Yes,Yes
DAB,[NH3]CC[C@@H]([C](=O)=O)[NH3],Gamma; Cyclic,No,Yes,No,Yes,No,No,Gamma,No,Yes,No,No,No,No,重要发现：γ-氨基丁酸，氨基在γ位置，NH3-CH2-CH2-CH(COOH)-NH3结构,Yes,Yes
DAH,OC(=O)[C@H](Cc1ccc(c(c1)O)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-3,4-二羟基苯丙氨酸，C@H表示D型，含二羟基苯环为芳香族",Yes,Yes
DBY,OC(=O)[C@H](Cc1cc(Br)c(c(c1)Br)O)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-3,5-二溴酪氨酸，C@H表示D型，含二溴苯环为芳香族",Yes,Yes
DDZ,OC([C@@H](C(=O)O)[NH3])O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-二羟基丝氨酸，C@@H表示L型，含双羟基但无环或芳香结构,Yes,Yes
DILE,CCC([C@@H](C(=O)O)[NH3])CC,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-异亮氨酸衍生物，C@@H表示L型，为标准α氨基酸,Yes,Yes
DIPH,[NH3][C@@H]([C@H](c1ccccc1)c1ccccc1)C(=O)O,D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-二苯基甘氨酸，含两个苯环，为芳香族化合物,Yes,Yes
DMK,O=[C](=O)[C@H](C([C](=O)=O)(C)C)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-二甲基天冬氨酸，C@H表示D型，含双甲基但无环或芳香结构,Yes,Yes
DMP3,CCc1cccc(c1)C[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-3-乙基苯丙氨酸，C@@H表示L型，含乙基苯环为芳香族,Yes,Yes
DPP,[NH3]C[C@@H]([C](=O)=O)[NH3],Beta; Cyclic,Yes,No,No,Yes,No,No,Beta,Yes,No,No,No,No,No,重要发现：β-氨基丙氨酸，氨基在β位置，NH3-CH2-CH(COOH)-NH3结构,Yes,Yes
ESC,CCSCC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-乙硫基半胱氨酸，C@@H表示L型，含硫醚键但无环或芳香结构,Yes,Yes
F2F,OC(=O)[C@H](Cc1ccc(c(c1)F)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,"D-2,3-二氟苯丙氨酸，C@H表示D型，含二氟苯环为芳香族",Yes,Yes
FCL,OC(=O)[C@H](Cc1cccc(c1)Cl)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-氯苯丙氨酸，C@H表示D型，含氯代苯环为芳香族,Yes,Yes
FGA4,OC(=O)[C@H](C[C@@H](C(=O)O)F)[NH3],D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-氟天冬氨酸，C@H表示D型，含氟原子但无环或芳香结构,Yes,Yes
FGL,[NH3]C([C](=O)=O)[C](=O)=O,Beta,Yes,No,No,No,No,No,Beta,Yes,No,No,No,No,No,重要发现：β-氨基酸，含双羧基结构，氨基在β位置,Yes,Yes
FLA,[NH3][C@@H](C(F)(F)F)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-三氟丙氨酸，C@@H表示L型，含三氟甲基但无环或芳香结构,Yes,Yes
FPG2,OC(=O)[C@H](c1ccccc1F)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-氟苯甘氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
FPG3,OC(=O)[C@H](c1cccc(c1)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-氟苯甘氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
FPG4,[NH3][C@@H](c1ccc(cc1)F)C(=O)O,Cyclic,No,No,No,Yes,No,No,Aromatic,No,No,No,No,Yes,No,L-4-氟苯甘氨酸，C@@H表示L型，含氟代苯环为芳香族,Yes,Yes
FPH2,OC(=O)[C@H](Cc1ccccc1F)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-氟苯丙氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
FPH3,OC(=O)[C@H](Cc1cccc(c1)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-3-氟苯丙氨酸，C@H表示D型，含氟代苯环为芳香族,Yes,Yes
FT6,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)F)[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-6-氟色氨酸，C@H表示D型，含氟代吲哚环系统为芳香族,Yes,Yes
FTR,[NH3][C@H](C(=O)O)Cc1c[nH]c2c1cc(F)cc2,D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-5-氟色氨酸，C@H表示D型，含氟代吲哚环系统为芳香族,Yes,Yes
FUA2,OC(=O)[C@H](Cc1ccco1)[NH3],D-amino; Cyclic; Aromatic,No,No,Yes,Yes,Yes,No,D-amino; Aromatic,No,No,Yes,No,Yes,No,D-2-呋喃丙氨酸，C@H表示D型，含呋喃环为杂环芳香族,Yes,Yes
FVAL,[NH3][C@@H](C(F)(C)C)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-氟缬氨酸，C@@H表示L型，含氟原子但无环或芳香结构,Yes,Yes
GBUT,O=[C](=O)[C@H](CC[NH]=[C](=[NH2])=[NH2])[NH3],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino,No,No,Yes,No,No,No,D-胍基丁氨酸，C@H表示D型，含胍基但无环或芳香结构,Yes,Yes
GDPR,[NH3][C@H]([C](=O)=O)C[NH]=[C](=[NH2])=[NH2],D-amino; Cyclic,No,No,Yes,Yes,No,No,D-amino,No,No,Yes,No,No,No,D-胍基丙氨酸，C@H表示D型，含胍基但无环或芳香结构,Yes,Yes
GGB,[NH3][C@H]([C](=O)=O)CCON=C(N)N,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-胍基甘氨酸衍生物，C@H表示D型，含胍基和羟胺基团,Yes,Yes
GHG,NC(=O)[C@H](C[C@@H]([C](=O)=O)[NH3])O,D-amino; N-methyl,No,No,Yes,No,No,Yes,D-amino,No,No,Yes,No,No,No,D-谷氨酰胺衍生物，C@H表示D型，含酰胺基但无环或芳香结构,Yes,Yes
GLN,[NH3][C@@H](CCC(=O)N)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-谷氨酰胺，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
GLU,[NH3][C@@H](CCC(=O)O)C(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-谷氨酸，C@@H表示L型，标准蛋白质氨基酸,Yes,Yes
GLY,NCC(=O)O,Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,甘氨酸，无手性中心，标准蛋白质氨基酸,Yes,Yes
GME,COC(=O)CC[C@@H](C(=O)O)[NH3],Alpha,No,No,No,No,No,No,Alpha,No,No,No,No,No,No,L-谷氨酸甲酯，C@@H表示L型，为标准α氨基酸衍生物,Yes,Yes
HCS,[NH3][C@H](C(=O)O)CCS,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-高半胱氨酸，C@H表示D型，含硫醇基但无环或芳香结构,Yes,Yes
HGA,ONC(=O)CC[C@@H](C(=O)O)[NH3],N-methyl,No,No,No,No,No,Yes,Alpha,No,No,No,No,No,No,L-高谷氨酸羟肟酸，C@@H表示L型，含羟肟酸基团但无环或芳香结构,Yes,Yes
HHK,[NH3]CCCCCC[C@@H](C(=O)O)[NH3],Cyclic,No,No,No,Yes,No,No,Alpha,No,No,No,No,No,No,L-高赖氨酸，C@@H表示L型，含双氨基但为线性结构，非环状,Yes,Yes
HIL4,C[C@H]([C@@H]([C@@H](C(=O)O)[NH3])C)O,D-amino,No,No,Yes,No,No,No,D-amino,No,No,Yes,No,No,No,D-异亮氨酸衍生物，含多个手性中心，无环或芳香结构,Yes,Yes
